_from,_to,amount,timestamp,txn_type,scenario
bank_account/acct_42_000116,bank_account/acct_42_000010,39656.83,2026-01-29T19:12:54.108161Z,UPI,mule
bank_account/acct_42_000117,bank_account/acct_42_000010,37293.16,2026-01-29T19:13:54.108161Z,UPI,mule
bank_account/acct_42_000118,bank_account/acct_42_000010,28280.69,2026-01-29T19:14:54.108161Z,UPI,mule
bank_account/acct_42_000119,bank_account/acct_42_000010,8131.15,2026-01-29T19:15:54.108161Z,UPI,mule
bank_account/acct_42_000120,bank_account/acct_42_000010,20223.66,2026-01-29T19:16:54.108161Z,UPI,mule
bank_account/acct_42_000121,bank_account/acct_42_000010,23074.29,2026-01-29T19:17:54.108161Z,UPI,mule
bank_account/acct_42_000122,bank_account/acct_42_000010,39756.77,2026-01-29T19:18:54.108161Z,UPI,mule
bank_account/acct_42_000123,bank_account/acct_42_000010,24533.25,2026-01-29T19:19:54.108161Z,UPI,mule
bank_account/acct_42_000124,bank_account/acct_42_000010,22696.98,2026-01-29T19:20:54.108161Z,UPI,mule
bank_account/acct_42_000125,bank_account/acct_42_000010,6669.22,2026-01-29T19:21:54.108161Z,UPI,mule
bank_account/acct_42_000126,bank_account/acct_42_000010,46513.35,2026-01-29T19:22:54.108161Z,UPI,mule
bank_account/acct_42_000127,bank_account/acct_42_000010,11792.84,2026-01-29T19:23:54.108161Z,UPI,mule
bank_account/acct_42_000128,bank_account/acct_42_000010,30855.08,2026-01-29T19:24:54.108161Z,UPI,mule
bank_account/acct_42_000129,bank_account/acct_42_000010,48997.98,2026-01-29T19:25:54.108161Z,UPI,mule
bank_account/acct_42_000130,bank_account/acct_42_000010,49102.12,2026-01-29T19:26:54.108161Z,UPI,mule
bank_account/acct_42_000131,bank_account/acct_42_000010,40958.18,2026-01-29T19:27:54.108161Z,UPI,mule
bank_account/acct_42_000132,bank_account/acct_42_000010,44411.6,2026-01-29T19:28:54.108161Z,UPI,mule
bank_account/acct_42_000133,bank_account/acct_42_000010,48769.75,2026-01-29T19:29:54.108161Z,UPI,mule
bank_account/acct_42_000134,bank_account/acct_42_000010,23868.74,2026-01-29T19:30:54.108161Z,UPI,mule
bank_account/acct_42_000135,bank_account/acct_42_000010,44860.23,2026-01-29T19:31:54.108161Z,UPI,mule
bank_account/acct_42_000136,bank_account/acct_42_000010,36535.57,2026-01-29T19:32:54.108161Z,UPI,mule
bank_account/acct_42_000137,bank_account/acct_42_000010,44309.59,2026-01-29T19:33:54.108161Z,UPI,mule
bank_account/acct_42_000138,bank_account/acct_42_000010,37469.8,2026-01-29T19:34:54.108161Z,UPI,mule
bank_account/acct_42_000139,bank_account/acct_42_000010,19116.29,2026-01-29T19:35:54.108161Z,UPI,mule
bank_account/acct_42_000140,bank_account/acct_42_000010,20487.08,2026-01-29T19:36:54.108161Z,UPI,mule
bank_account/acct_42_000141,bank_account/acct_42_000010,42215.16,2026-01-29T19:37:54.108161Z,UPI,mule
bank_account/acct_42_000142,bank_account/acct_42_000010,45509.38,2026-01-29T19:38:54.108161Z,UPI,mule
bank_account/acct_42_000143,bank_account/acct_42_000010,32468.05,2026-01-29T19:39:54.108161Z,UPI,mule
bank_account/acct_42_000144,bank_account/acct_42_000010,11608.78,2026-01-29T19:40:54.108161Z,UPI,mule
bank_account/acct_42_000145,bank_account/acct_42_000010,23177.21,2026-01-29T19:41:54.108161Z,UPI,mule
bank_account/acct_42_000146,bank_account/acct_42_000010,33974.57,2026-01-29T19:42:54.108161Z,UPI,mule
bank_account/acct_42_000147,bank_account/acct_42_000010,44941.09,2026-01-29T19:43:54.108161Z,UPI,mule
bank_account/acct_42_000148,bank_account/acct_42_000010,33096.19,2026-01-29T19:44:54.108161Z,UPI,mule
bank_account/acct_42_000149,bank_account/acct_42_000010,32818.44,2026-01-29T19:45:54.108161Z,UPI,mule
bank_account/acct_42_000226,bank_account/acct_42_000357,69115.6,2025-12-09T20:48:54.108161Z,IMPS,background
bank_account/acct_42_000397,bank_account/acct_42_000101,176206.84,2026-01-25T17:41:54.108161Z,UPI,background
bank_account/acct_42_000199,bank_account/acct_42_000371,143804.22,2025-12-05T14:38:54.108161Z,UPI,background
bank_account/acct_42_000109,bank_account/acct_42_000047,102383.15,2026-01-11T01:09:54.108161Z,UPI,background
bank_account/acct_42_000387,bank_account/acct_42_000325,32089.47,2026-01-29T00:31:54.108161Z,UPI,background
bank_account/acct_42_000123,bank_account/acct_42_000426,154854.14,2025-12-15T04:31:54.108161Z,NEFT,background
bank_account/acct_42_000374,bank_account/acct_42_000030,168332.53,2026-01-13T21:32:54.108161Z,UPI,background
bank_account/acct_42_000063,bank_account/acct_42_000024,151336.33,2025-12-01T14:41:54.108161Z,IMPS,background
bank_account/acct_42_000152,bank_account/acct_42_000293,147398.05,2026-01-01T07:22:54.108161Z,RTGS,background
bank_account/acct_42_000412,bank_account/acct_42_000381,197801.12,2025-12-24T21:31:54.108161Z,RTGS,background
bank_account/acct_42_000179,bank_account/acct_42_000153,56978.65,2025-12-10T23:23:54.108161Z,RTGS,background
bank_account/acct_42_000365,bank_account/acct_42_000193,103981.36,2026-01-15T15:21:54.108161Z,UPI,background
bank_account/acct_42_000264,bank_account/acct_42_000298,38591.8,2025-12-12T06:37:54.108161Z,IMPS,background
bank_account/acct_42_000050,bank_account/acct_42_000075,142356.92,2025-12-08T04:53:54.108161Z,NEFT,background
bank_account/acct_42_000047,bank_account/acct_42_000031,85034.86,2026-01-22T02:41:54.108161Z,RTGS,background
bank_account/acct_42_000228,bank_account/acct_42_000039,73921.91,2025-12-28T05:12:54.108161Z,IMPS,background
bank_account/acct_42_000446,bank_account/acct_42_000135,116902.33,2025-12-21T04:29:54.108161Z,IMPS,background
bank_account/acct_42_000352,bank_account/acct_42_000250,146370.22,2026-01-04T13:23:54.108161Z,RTGS,background
bank_account/acct_42_000258,bank_account/acct_42_000065,97004.4,2026-01-01T14:32:54.108161Z,NEFT,background
bank_account/acct_42_000355,bank_account/acct_42_000108,91140.93,2026-01-28T13:35:54.108161Z,UPI,background
bank_account/acct_42_000060,bank_account/acct_42_000308,170478.33,2026-01-23T14:49:54.108161Z,UPI,background
bank_account/acct_42_000292,bank_account/acct_42_000148,8152.4,2026-01-21T14:55:54.108161Z,UPI,background
bank_account/acct_42_000156,bank_account/acct_42_000191,60721.69,2025-12-30T17:59:54.108161Z,RTGS,background
bank_account/acct_42_000072,bank_account/acct_42_000401,117965.89,2026-01-27T08:32:54.108161Z,UPI,background
bank_account/acct_42_000110,bank_account/acct_42_000093,163843.1,2025-12-30T18:52:54.108161Z,NEFT,background
bank_account/acct_42_000280,bank_account/acct_42_000178,13606.15,2026-01-28T04:41:54.108161Z,IMPS,background
bank_account/acct_42_000293,bank_account/acct_42_000158,113196.22,2025-12-04T07:25:54.108161Z,IMPS,background
bank_account/acct_42_000243,bank_account/acct_42_000427,144034.7,2025-12-23T14:25:54.108161Z,RTGS,background
bank_account/acct_42_000258,bank_account/acct_42_000325,92241.14,2026-01-01T20:10:54.108161Z,IMPS,background
bank_account/acct_42_000076,bank_account/acct_42_000443,145600.04,2026-01-24T21:37:54.108161Z,IMPS,background
bank_account/acct_42_000198,bank_account/acct_42_000119,180058.86,2026-01-09T00:29:54.108161Z,NEFT,background
bank_account/acct_42_000343,bank_account/acct_42_000226,147208.97,2025-12-20T15:55:54.108161Z,RTGS,background
bank_account/acct_42_000362,bank_account/acct_42_000012,114441.76,2025-12-11T08:24:54.108161Z,NEFT,background
bank_account/acct_42_000329,bank_account/acct_42_000286,17121.89,2025-12-22T00:27:54.108161Z,NEFT,background
bank_account/acct_42_000291,bank_account/acct_42_000267,37960.23,2025-12-31T01:47:54.108161Z,NEFT,background
bank_account/acct_42_000061,bank_account/acct_42_000337,187242.74,2026-01-19T18:18:54.108161Z,UPI,background
bank_account/acct_42_000402,bank_account/acct_42_000105,49132.81,2025-12-15T23:10:54.108161Z,IMPS,background
bank_account/acct_42_000043,bank_account/acct_42_000413,106755.42,2026-01-10T05:14:54.108161Z,NEFT,background
bank_account/acct_42_000251,bank_account/acct_42_000441,186776.37,2026-01-09T04:01:54.108161Z,RTGS,background
bank_account/acct_42_000212,bank_account/acct_42_000012,171943.72,2026-01-10T05:54:54.108161Z,UPI,background
bank_account/acct_42_000046,bank_account/acct_42_000058,195959.24,2025-12-27T13:12:54.108161Z,UPI,background
bank_account/acct_42_000073,bank_account/acct_42_000093,51185.35,2026-01-25T13:41:54.108161Z,UPI,background
bank_account/acct_42_000208,bank_account/acct_42_000347,33921.29,2025-12-22T07:50:54.108161Z,RTGS,background
bank_account/acct_42_000013,bank_account/acct_42_000365,11794.51,2026-01-06T15:34:54.108161Z,UPI,background
bank_account/acct_42_000072,bank_account/acct_42_000211,178612.9,2026-01-14T06:07:54.108161Z,NEFT,background
bank_account/acct_42_000026,bank_account/acct_42_000103,48000.63,2025-12-22T22:56:54.108161Z,RTGS,background
bank_account/acct_42_000252,bank_account/acct_42_000260,150502.76,2026-01-06T15:01:54.108161Z,UPI,background
bank_account/acct_42_000031,bank_account/acct_42_000162,93018.22,2026-01-04T16:42:54.108161Z,IMPS,background
bank_account/acct_42_000014,bank_account/acct_42_000208,126744.9,2025-12-03T18:18:54.108161Z,UPI,background
bank_account/acct_42_000283,bank_account/acct_42_000300,135051.98,2026-01-15T00:00:54.108161Z,RTGS,background
bank_account/acct_42_000155,bank_account/acct_42_000290,81408.51,2026-01-24T21:14:54.108161Z,RTGS,background
bank_account/acct_42_000400,bank_account/acct_42_000072,74723.71,2026-01-20T10:34:54.108161Z,IMPS,background
bank_account/acct_42_000284,bank_account/acct_42_000231,8454.24,2025-12-09T03:05:54.108161Z,UPI,background
bank_account/acct_42_000334,bank_account/acct_42_000085,208.53,2025-12-02T02:29:54.108161Z,UPI,background
bank_account/acct_42_000306,bank_account/acct_42_000128,167913.6,2026-01-06T06:57:54.108161Z,RTGS,background
bank_account/acct_42_000299,bank_account/acct_42_000430,102114.65,2026-01-28T13:26:54.108161Z,NEFT,background
bank_account/acct_42_000153,bank_account/acct_42_000045,79121.45,2026-01-23T14:10:54.108161Z,UPI,background
bank_account/acct_42_000449,bank_account/acct_42_000221,42248.95,2025-12-29T08:05:54.108161Z,UPI,background
bank_account/acct_42_000325,bank_account/acct_42_000133,195930.11,2025-12-16T03:29:54.108161Z,UPI,background
bank_account/acct_42_000125,bank_account/acct_42_000339,196606.09,2026-01-09T11:45:54.108161Z,IMPS,background
bank_account/acct_42_000306,bank_account/acct_42_000168,3273.34,2025-12-17T14:23:54.108161Z,NEFT,background
bank_account/acct_42_000311,bank_account/acct_42_000243,955.42,2026-01-29T19:59:54.108161Z,RTGS,background
bank_account/acct_42_000211,bank_account/acct_42_000284,179064.11,2025-12-16T02:15:54.108161Z,IMPS,background
bank_account/acct_42_000275,bank_account/acct_42_000041,157482.32,2025-12-19T20:43:54.108161Z,NEFT,background
bank_account/acct_42_000275,bank_account/acct_42_000015,178525.18,2025-12-08T20:01:54.108161Z,IMPS,background
bank_account/acct_42_000344,bank_account/acct_42_000063,70663.65,2025-12-09T06:06:54.108161Z,UPI,background
bank_account/acct_42_000198,bank_account/acct_42_000090,167845.24,2025-12-09T19:09:54.108161Z,NEFT,background
bank_account/acct_42_000063,bank_account/acct_42_000236,74159.08,2026-01-18T03:46:54.108161Z,NEFT,background
bank_account/acct_42_000113,bank_account/acct_42_000380,4054.36,2026-01-12T19:43:54.108161Z,UPI,background
bank_account/acct_42_000098,bank_account/acct_42_000046,163274.54,2025-12-21T08:36:54.108161Z,RTGS,background
bank_account/acct_42_000119,bank_account/acct_42_000252,193462.57,2026-01-28T09:22:54.108161Z,IMPS,background
bank_account/acct_42_000360,bank_account/acct_42_000361,121244.79,2026-01-30T12:15:54.108161Z,IMPS,background
bank_account/acct_42_000056,bank_account/acct_42_000445,55541.78,2025-12-29T02:05:54.108161Z,RTGS,background
bank_account/acct_42_000282,bank_account/acct_42_000099,132001.7,2025-12-24T20:00:54.108161Z,RTGS,background
bank_account/acct_42_000033,bank_account/acct_42_000301,25736.45,2026-01-26T14:36:54.108161Z,UPI,background
bank_account/acct_42_000291,bank_account/acct_42_000438,45670.24,2025-12-28T09:35:54.108161Z,RTGS,background
bank_account/acct_42_000434,bank_account/acct_42_000347,4721.19,2025-12-16T19:48:54.108161Z,UPI,background
bank_account/acct_42_000348,bank_account/acct_42_000286,176632.08,2026-01-30T04:22:54.108161Z,NEFT,background
bank_account/acct_42_000437,bank_account/acct_42_000165,86566.38,2026-01-04T09:35:54.108161Z,NEFT,background
bank_account/acct_42_000348,bank_account/acct_42_000265,93370.69,2026-01-07T01:17:54.108161Z,NEFT,background
bank_account/acct_42_000369,bank_account/acct_42_000114,9488.23,2025-12-03T04:36:54.108161Z,IMPS,background
bank_account/acct_42_000161,bank_account/acct_42_000002,78432.59,2026-01-09T16:09:54.108161Z,NEFT,background
bank_account/acct_42_000377,bank_account/acct_42_000115,195621.31,2026-01-03T16:24:54.108161Z,RTGS,background
bank_account/acct_42_000100,bank_account/acct_42_000084,65912.0,2026-01-25T21:34:54.108161Z,NEFT,background
bank_account/acct_42_000014,bank_account/acct_42_000245,86446.59,2026-01-28T22:43:54.108161Z,UPI,background
bank_account/acct_42_000430,bank_account/acct_42_000128,49506.0,2025-12-31T10:48:54.108161Z,UPI,background
bank_account/acct_42_000426,bank_account/acct_42_000027,164344.6,2025-12-28T10:52:54.108161Z,NEFT,background
bank_account/acct_42_000397,bank_account/acct_42_000307,123951.35,2025-12-13T15:41:54.108161Z,IMPS,background
bank_account/acct_42_000296,bank_account/acct_42_000063,17198.39,2026-01-27T17:48:54.108161Z,IMPS,background
bank_account/acct_42_000160,bank_account/acct_42_000434,138703.4,2025-12-11T14:35:54.108161Z,NEFT,background
bank_account/acct_42_000410,bank_account/acct_42_000226,11052.29,2025-12-21T21:34:54.108161Z,IMPS,background
bank_account/acct_42_000033,bank_account/acct_42_000052,135545.14,2025-12-26T17:10:54.108161Z,UPI,background
bank_account/acct_42_000435,bank_account/acct_42_000195,80396.44,2025-12-22T04:55:54.108161Z,RTGS,background
bank_account/acct_42_000442,bank_account/acct_42_000306,157516.21,2025-12-22T18:35:54.108161Z,IMPS,background
bank_account/acct_42_000196,bank_account/acct_42_000237,159053.42,2025-12-04T21:46:54.108161Z,NEFT,background
bank_account/acct_42_000173,bank_account/acct_42_000333,187523.21,2025-12-11T18:03:54.108161Z,IMPS,background
bank_account/acct_42_000264,bank_account/acct_42_000168,117603.89,2026-01-24T15:26:54.108161Z,NEFT,background
bank_account/acct_42_000304,bank_account/acct_42_000365,13602.14,2025-12-11T12:20:54.108161Z,RTGS,background
bank_account/acct_42_000326,bank_account/acct_42_000260,51331.59,2026-01-04T02:31:54.108161Z,IMPS,background
bank_account/acct_42_000095,bank_account/acct_42_000124,27620.77,2026-01-28T16:53:54.108161Z,RTGS,background
bank_account/acct_42_000159,bank_account/acct_42_000299,87226.04,2025-12-20T06:44:54.108161Z,UPI,background
bank_account/acct_42_000298,bank_account/acct_42_000277,155121.58,2026-01-21T02:55:54.108161Z,UPI,background
bank_account/acct_42_000308,bank_account/acct_42_000175,58283.68,2026-01-30T01:16:54.108161Z,RTGS,background
bank_account/acct_42_000029,bank_account/acct_42_000121,101470.86,2025-12-07T23:51:54.108161Z,NEFT,background
bank_account/acct_42_000216,bank_account/acct_42_000176,39161.89,2026-01-17T21:05:54.108161Z,RTGS,background
bank_account/acct_42_000402,bank_account/acct_42_000035,68376.23,2025-12-19T02:42:54.108161Z,IMPS,background
bank_account/acct_42_000307,bank_account/acct_42_000354,66295.97,2025-12-23T23:37:54.108161Z,UPI,background
bank_account/acct_42_000315,bank_account/acct_42_000153,83797.19,2026-01-20T15:22:54.108161Z,IMPS,background
bank_account/acct_42_000448,bank_account/acct_42_000404,182117.55,2025-12-30T11:27:54.108161Z,NEFT,background
bank_account/acct_42_000327,bank_account/acct_42_000114,138674.79,2025-12-31T21:39:54.108161Z,RTGS,background
bank_account/acct_42_000122,bank_account/acct_42_000246,146943.78,2025-12-01T07:38:54.108161Z,IMPS,background
bank_account/acct_42_000105,bank_account/acct_42_000204,36930.48,2026-01-30T06:33:54.108161Z,NEFT,background
bank_account/acct_42_000037,bank_account/acct_42_000183,6100.52,2026-01-23T14:05:54.108161Z,UPI,background
bank_account/acct_42_000225,bank_account/acct_42_000099,126303.78,2025-12-03T06:39:54.108161Z,NEFT,background
bank_account/acct_42_000015,bank_account/acct_42_000101,39645.22,2026-01-19T11:28:54.108161Z,UPI,background
bank_account/acct_42_000368,bank_account/acct_42_000089,68029.52,2025-12-26T10:33:54.108161Z,RTGS,background
bank_account/acct_42_000100,bank_account/acct_42_000011,35297.88,2026-01-14T15:29:54.108161Z,NEFT,background
bank_account/acct_42_000425,bank_account/acct_42_000346,27534.98,2025-12-20T15:09:54.108161Z,UPI,background
bank_account/acct_42_000107,bank_account/acct_42_000156,91295.12,2026-01-07T06:14:54.108161Z,RTGS,background
bank_account/acct_42_000269,bank_account/acct_42_000409,199539.21,2025-12-05T04:08:54.108161Z,NEFT,background
bank_account/acct_42_000060,bank_account/acct_42_000073,176556.35,2026-01-22T12:28:54.108161Z,RTGS,background
bank_account/acct_42_000272,bank_account/acct_42_000193,138901.34,2026-01-09T22:29:54.108161Z,IMPS,background
bank_account/acct_42_000325,bank_account/acct_42_000125,184210.62,2025-12-12T21:55:54.108161Z,RTGS,background
bank_account/acct_42_000437,bank_account/acct_42_000274,58907.13,2026-01-21T07:45:54.108161Z,RTGS,background
bank_account/acct_42_000027,bank_account/acct_42_000322,159142.82,2025-12-06T14:38:54.108161Z,IMPS,background
bank_account/acct_42_000107,bank_account/acct_42_000372,16373.4,2025-12-30T20:18:54.108161Z,NEFT,background
bank_account/acct_42_000085,bank_account/acct_42_000260,77684.36,2025-12-04T20:55:54.108161Z,UPI,background
bank_account/acct_42_000255,bank_account/acct_42_000265,92907.03,2026-01-10T06:11:54.108161Z,IMPS,background
bank_account/acct_42_000366,bank_account/acct_42_000253,94804.26,2025-12-24T05:15:54.108161Z,NEFT,background
bank_account/acct_42_000106,bank_account/acct_42_000112,178987.44,2026-01-02T10:56:54.108161Z,IMPS,background
bank_account/acct_42_000111,bank_account/acct_42_000156,85062.07,2026-01-05T23:26:54.108161Z,RTGS,background
bank_account/acct_42_000431,bank_account/acct_42_000191,50980.4,2026-01-25T14:21:54.108161Z,NEFT,background
bank_account/acct_42_000151,bank_account/acct_42_000227,103812.26,2026-01-15T23:01:54.108161Z,NEFT,background
bank_account/acct_42_000238,bank_account/acct_42_000262,124263.05,2026-01-03T03:33:54.108161Z,IMPS,background
bank_account/acct_42_000221,bank_account/acct_42_000209,73565.64,2025-12-30T08:07:54.108161Z,UPI,background
bank_account/acct_42_000195,bank_account/acct_42_000012,35995.19,2026-01-16T09:53:54.108161Z,NEFT,background
bank_account/acct_42_000183,bank_account/acct_42_000042,58974.11,2025-12-29T01:26:54.108161Z,NEFT,background
bank_account/acct_42_000402,bank_account/acct_42_000141,185328.52,2026-01-24T14:54:54.108161Z,NEFT,background
bank_account/acct_42_000184,bank_account/acct_42_000019,109250.61,2026-01-09T12:14:54.108161Z,UPI,background
bank_account/acct_42_000128,bank_account/acct_42_000154,149067.75,2025-12-11T19:37:54.108161Z,UPI,background
bank_account/acct_42_000097,bank_account/acct_42_000361,120846.41,2026-01-22T00:24:54.108161Z,UPI,background
bank_account/acct_42_000004,bank_account/acct_42_000394,59964.88,2025-12-09T07:07:54.108161Z,IMPS,background
bank_account/acct_42_000207,bank_account/acct_42_000420,116032.76,2025-12-20T18:32:54.108161Z,IMPS,background
bank_account/acct_42_000334,bank_account/acct_42_000262,197856.0,2025-12-01T13:51:54.108161Z,IMPS,background
bank_account/acct_42_000370,bank_account/acct_42_000383,42054.02,2026-01-16T01:20:54.108161Z,IMPS,background
bank_account/acct_42_000369,bank_account/acct_42_000416,92334.09,2025-12-11T16:01:54.108161Z,UPI,background
bank_account/acct_42_000433,bank_account/acct_42_000096,85815.72,2025-11-30T19:07:54.108161Z,IMPS,background
bank_account/acct_42_000107,bank_account/acct_42_000224,90049.39,2025-12-26T17:55:54.108161Z,UPI,background
bank_account/acct_42_000071,bank_account/acct_42_000295,174762.67,2026-01-11T18:37:54.108161Z,IMPS,background
bank_account/acct_42_000414,bank_account/acct_42_000337,166876.35,2026-01-09T11:15:54.108161Z,IMPS,background
bank_account/acct_42_000217,bank_account/acct_42_000351,150549.97,2025-12-12T19:22:54.108161Z,UPI,background
bank_account/acct_42_000166,bank_account/acct_42_000300,4745.64,2025-12-11T17:51:54.108161Z,RTGS,background
bank_account/acct_42_000078,bank_account/acct_42_000169,113681.36,2025-12-09T22:22:54.108161Z,IMPS,background
bank_account/acct_42_000195,bank_account/acct_42_000104,189743.67,2026-01-26T00:42:54.108161Z,IMPS,background
bank_account/acct_42_000096,bank_account/acct_42_000243,21816.81,2025-12-25T03:32:54.108161Z,UPI,background
bank_account/acct_42_000047,bank_account/acct_42_000087,20952.2,2025-12-26T12:53:54.108161Z,NEFT,background
bank_account/acct_42_000423,bank_account/acct_42_000352,120712.45,2026-01-29T12:34:54.108161Z,RTGS,background
bank_account/acct_42_000035,bank_account/acct_42_000197,56835.14,2026-01-16T09:00:54.108161Z,NEFT,background
bank_account/acct_42_000232,bank_account/acct_42_000029,73793.59,2026-01-30T13:05:54.108161Z,UPI,background
bank_account/acct_42_000440,bank_account/acct_42_000210,78281.94,2026-01-23T14:32:54.108161Z,IMPS,background
bank_account/acct_42_000244,bank_account/acct_42_000380,13845.72,2025-12-04T11:54:54.108161Z,RTGS,background
bank_account/acct_42_000445,bank_account/acct_42_000105,62020.46,2025-12-08T20:15:54.108161Z,IMPS,background
bank_account/acct_42_000081,bank_account/acct_42_000309,115060.77,2026-01-10T22:53:54.108161Z,RTGS,background
bank_account/acct_42_000257,bank_account/acct_42_000366,136998.7,2026-01-13T12:03:54.108161Z,NEFT,background
bank_account/acct_42_000073,bank_account/acct_42_000228,12887.61,2026-01-04T22:18:54.108161Z,RTGS,background
bank_account/acct_42_000269,bank_account/acct_42_000168,182069.48,2025-12-05T02:11:54.108161Z,IMPS,background
bank_account/acct_42_000236,bank_account/acct_42_000294,7913.05,2026-01-25T09:07:54.108161Z,IMPS,background
bank_account/acct_42_000177,bank_account/acct_42_000358,168543.63,2025-12-11T08:47:54.108161Z,IMPS,background
bank_account/acct_42_000313,bank_account/acct_42_000421,162015.95,2026-01-19T04:46:54.108161Z,RTGS,background
bank_account/acct_42_000091,bank_account/acct_42_000316,146675.47,2026-01-01T05:49:54.108161Z,RTGS,background
bank_account/acct_42_000357,bank_account/acct_42_000291,19197.28,2025-12-17T17:27:54.108161Z,RTGS,background
bank_account/acct_42_000445,bank_account/acct_42_000080,54827.88,2025-12-21T00:35:54.108161Z,UPI,background
bank_account/acct_42_000341,bank_account/acct_42_000034,139638.99,2025-12-15T11:32:54.108161Z,IMPS,background
bank_account/acct_42_000210,bank_account/acct_42_000390,110609.5,2026-01-07T16:20:54.108161Z,NEFT,background
bank_account/acct_42_000258,bank_account/acct_42_000392,155924.18,2026-01-04T03:33:54.108161Z,RTGS,background
bank_account/acct_42_000129,bank_account/acct_42_000106,101262.31,2026-01-01T18:02:54.108161Z,NEFT,background
bank_account/acct_42_000327,bank_account/acct_42_000355,135156.85,2026-01-01T05:56:54.108161Z,UPI,background
bank_account/acct_42_000381,bank_account/acct_42_000204,171169.05,2026-01-05T17:39:54.108161Z,NEFT,background
bank_account/acct_42_000128,bank_account/acct_42_000058,141849.01,2026-01-22T07:47:54.108161Z,IMPS,background
bank_account/acct_42_000248,bank_account/acct_42_000236,13740.61,2025-12-25T20:31:54.108161Z,RTGS,background
bank_account/acct_42_000365,bank_account/acct_42_000224,28137.13,2025-12-09T09:25:54.108161Z,RTGS,background
bank_account/acct_42_000087,bank_account/acct_42_000429,3711.42,2026-01-24T12:54:54.108161Z,UPI,background
bank_account/acct_42_000063,bank_account/acct_42_000273,148315.15,2026-01-20T16:18:54.108161Z,NEFT,background
bank_account/acct_42_000346,bank_account/acct_42_000139,30783.95,2026-01-08T12:52:54.108161Z,RTGS,background
bank_account/acct_42_000365,bank_account/acct_42_000017,178548.27,2025-12-27T11:34:54.108161Z,IMPS,background
bank_account/acct_42_000356,bank_account/acct_42_000024,167316.58,2025-12-10T01:06:54.108161Z,NEFT,background
bank_account/acct_42_000199,bank_account/acct_42_000353,61734.02,2026-01-26T22:31:54.108161Z,NEFT,background
bank_account/acct_42_000024,bank_account/acct_42_000395,75541.37,2026-01-18T10:25:54.108161Z,UPI,background
bank_account/acct_42_000122,bank_account/acct_42_000102,18368.15,2026-01-04T17:59:54.108161Z,NEFT,background
bank_account/acct_42_000172,bank_account/acct_42_000420,38511.15,2025-12-19T16:47:54.108161Z,RTGS,background
bank_account/acct_42_000049,bank_account/acct_42_000408,167093.48,2025-12-19T13:13:54.108161Z,RTGS,background
bank_account/acct_42_000022,bank_account/acct_42_000212,102548.77,2025-12-09T07:47:54.108161Z,UPI,background
bank_account/acct_42_000287,bank_account/acct_42_000320,37990.55,2026-01-17T00:27:54.108161Z,IMPS,background
bank_account/acct_42_000219,bank_account/acct_42_000061,46558.39,2026-01-24T06:46:54.108161Z,UPI,background
bank_account/acct_42_000088,bank_account/acct_42_000007,80487.68,2026-01-10T18:32:54.108161Z,IMPS,background
bank_account/acct_42_000108,bank_account/acct_42_000234,44097.23,2025-12-19T09:26:54.108161Z,UPI,background
